date,capacity,turnover,high,low,close,change,transaction_volume,open
1518051600,31192550,7468970072,242.0,238.0,238.5,-1.5,10274,239.5
1518138000,65939265,15227192540,233.0,228.5,232.5,-6.0,19749,230.0
1518397200,42917236,10113012768,237.5,235.0,236.5,4.0,10851,235.5
1519174800,76396174,18582475956,244.5,242.0,242.5,6.0,21512,244.5
1519261200,45492993,10977665819,244.0,239.0,239.5,-3.0,10071,244.0
1519347600,26985776,6578657620,245.0,241.0,245.0,5.5,10178,241.0
1519606800,36165810,8910352170,247.5,245.0,246.5,1.5,12565,247.0
1519693200,44699119,11061945363,250.5,246.0,246.0,-0.5,10908,250.5
1519866000,43847984,10669194561,245.0,242.0,243.0,-3.0,11589,244.0
1519952400,35289170,8453712014,241.0,238.5,240.0,-3.0,10440,240.0
1520211600,27337846,6607367732,243.0,240.5,241.5,1.5,9321,242.5
1520298000,36945780,9155812210,250.0,245.5,250.0,8.5,13977,245.5
1520384400,30391219,7525601638,248.5,246.0,247.0,-3.0,10521,248.0
1520470800,20645694,5172732531,251.5,249.0,249.5,2.5,8817,249.5
1520557200,22887063,5723277170,251.0,248.5,250.5,1.0,7050,250.0
1520816400,25100615,6370529728,255.0,251.5,254.0,3.5,10550,252.0
1520902800,34264883,8816553606,259.0,255.0,259.0,5.0,11700,255.5
1520989200,24254838,6220805864,257.5,255.5,257.0,-2.0,8518,256.5
1521075600,19396493,4965546715,258.0,255.0,255.0,-2.0,5945,258.0
1521162000,62989326,15930805360,256.0,249.5,255.0,0.0,18058,253.0
1521421200,22440766,5679567964,255.5,251.0,255.0,0.0,9888,252.5
1521507600,22335151,5640426203,254.0,251.5,253.0,-2.0,9334,253.0
1521594000,32977737,8325162114,255.0,251.0,252.5,-0.5,11575,255.0
1521680400,27000718,6797045014,254.5,249.5,251.5,-1.0,10475,254.5
1521766800,52974390,12994667867,247.0,244.0,245.0,-6.5,20513,245.0
1522026000,39487945,9582954454,244.5,241.5,243.5,-1.5,11404,241.5
1522112400,31100260,7732298021,251.0,247.0,251.0,7.5,11698,248.0
1522198800,29924411,7349468217,248.0,244.0,245.0,-6.0,13041,247.5
1522285200,36427345,8888435870,247.0,242.5,244.0,-1.0,12832,243.0
1522371600,16996346,4212690462,249.5,246.0,246.0,2.0,7578,247.5
1522458000,3603912,893664176,249.0,246.5,247.5,1.5,2409,247.5
